id;ut
471180;WOS:000440869600015
470730;WOS:000440869600015
504280;WOS:000440869600015
554048;WOS:000440869600014
8606;WOS:000440869600014
67752;WOS:000440869600014
35154;WOS:000440869600014
824912;WOS:000440869600012
897471;WOS:000440869600012
897472;WOS:000440869600012
983611;WOS:000440869600012
515614;WOS:000440869600011
534755;WOS:000440869600011
534754;WOS:000440869600011
897470;WOS:000440869600010
824914;WOS:000440869600010
897469;WOS:000440869600009
672236;WOS:000440869600009
565574;WOS:000440869600009
1005033;WOS:000440869600008
1011087;WOS:000440869600008
474706;WOS:000440869600006
600360;WOS:000440869600006
23701;WOS:000440869600005
68604;WOS:000440869600005
1011085;WOS:000440869600002
1011086;WOS:000440869600002
563426;WOS:000440617100001
897468;WOS:000440617100001
897467;WOS:000440607900003
897466;WOS:000440607900003
630847;WOS:000440606200001
1099753;WOS:000440537600006
1099879;WOS:000440537600006
1099878;WOS:000440537600006
1099880;WOS:000440537600006
1099877;WOS:000440537600005
1099876;WOS:000440537600005
1099875;WOS:000440537600005
1098221;WOS:000440537600004
1099874;WOS:000440537600004
1099766;WOS:000440537600003
1095240;WOS:000440537600002
1095231;WOS:000440537600002
1095226;WOS:000440537600002
1095243;WOS:000440537600002
1095245;WOS:000440537600001
1095247;WOS:000440537600001
1095228;WOS:000440537600001
1099765;WOS:000440537600001
852295;WOS:000440464600003
310926;WOS:000440451600014
1013275;WOS:000440446300073
1013276;WOS:000440446300073
1013274;WOS:000440446300073
1013273;WOS:000440446300073
601448;WOS:000440358900002
601451;WOS:000440358900002
601450;WOS:000440358900002
845340;WOS:000440358900002
561917;WOS:000440358900002
591377;WOS:000440358900002
663355;WOS:000440358900002
1068764;WOS:000440258700045
1023311;WOS:000440258700045
1056512;WOS:000440258700045
1061492;WOS:000440258700045
1027832;WOS:000440258700045
1031559;WOS:000440258700045
1033906;WOS:000440258700045
1046943;WOS:000440258700045
896786;WOS:000440252400617
897317;WOS:000440252400611
897313;WOS:000440252400610
897314;WOS:000440252400610
897312;WOS:000440252400610
897158;WOS:000440252400610
897158;WOS:000440252400590
897158;WOS:000440252400586
897264;WOS:000440252400582
897262;WOS:000440252400582
897158;WOS:000440252400576
897229;WOS:000440252400569
897158;WOS:000440252400566
759528;WOS:000440252400535
897158;WOS:000440252400525
896069;WOS:000440252400497
896786;WOS:000440252400474
897040;WOS:000440252400463
897032;WOS:000440252400460
896133;WOS:000440252400459
897002;WOS:000440252400444
759528;WOS:000440252400410
896919;WOS:000440252400405
896133;WOS:000440252400387
896133;WOS:000440252400342
896798;WOS:000440252400335
896786;WOS:000440252400322
896783;WOS:000440252400320
896777;WOS:000440252400316
896776;WOS:000440252400316
896699;WOS:000440252400281
896586;WOS:000440252400239
896551;WOS:000440252400224
896481;WOS:000440252400209
896414;WOS:000440252400196
896404;WOS:000440252400190
896414;WOS:000440252400187
896404;WOS:000440252400183
896133;WOS:000440252400167
896375;WOS:000440252400160
896363;WOS:000440252400154
896361;WOS:000440252400153
896358;WOS:000440252400153
896069;WOS:000440252400143
896133;WOS:000440252400133
896223;WOS:000440252400090
896133;WOS:000440252400054
896133;WOS:000440252400046
896069;WOS:000440252400025
896069;WOS:000440252400019
1030223;WOS:000440156400013
902434;WOS:000439982200004
912455;WOS:000439982200004
927628;WOS:000439982200004
535417;WOS:000439982200004
535192;WOS:000439982200004
537204;WOS:000439982200004
537872;WOS:000439982200004
1047922;WOS:000439963100002
1011081;WOS:000439882600014
1011082;WOS:000439882600014
977492;WOS:000439882600014
955277;WOS:000439882600013
1011078;WOS:000439882600013
1011079;WOS:000439882600013
1011080;WOS:000439882600013
1004145;WOS:000439882600013
925928;WOS:000439882600013
927195;WOS:000439882600012
927837;WOS:000439882600012
930645;WOS:000439882600012
1011075;WOS:000439882600012
1011076;WOS:000439882600012
1011074;WOS:000439882600011
973157;WOS:000439882600011
933599;WOS:000439882600011
907805;WOS:000439882600011
915846;WOS:000439882600010
1011073;WOS:000439882600010
1011072;WOS:000439882600010
1011071;WOS:000439882600009
996569;WOS:000439882600009
1011068;WOS:000439882600008
1011069;WOS:000439882600008
1011070;WOS:000439882600008
977484;WOS:000439882600008
909250;WOS:000439882600007
927195;WOS:000439882600007
927196;WOS:000439882600007
927837;WOS:000439882600007
927834;WOS:000439882600007
927836;WOS:000439882600007
930711;WOS:000439882600006
906550;WOS:000439882600006
906264;WOS:000439882600006
965737;WOS:000439882600006
1011066;WOS:000439882600006
1011067;WOS:000439882600006
1011065;WOS:000439882600005
1011064;WOS:000439882600004
1011063;WOS:000439882600004
905060;WOS:000439882600004
905061;WOS:000439882600004
905060;WOS:000439882600003
905061;WOS:000439882600003
107847;WOS:000439882600003
1011062;WOS:000439882600003
1011061;WOS:000439882600002
977477;WOS:000439882600002
977478;WOS:000439882600002
1011060;WOS:000439882600001
1011059;WOS:000439882600001
915532;WOS:000439882600001
553086;WOS:000439755800031
1086473;WOS:000439755800030
1086472;WOS:000439755800028
693641;WOS:000439534400011
608155;WOS:000439534400011
573337;WOS:000439534400011
573336;WOS:000439534400011
896036;WOS:000439521600001
844542;WOS:000439408400001
566140;WOS:000439339400007
1094825;WOS:000439339400007
1011055;WOS:000439339400003
1011056;WOS:000439339400003
1011057;WOS:000439339400003
1002872;WOS:000439339400003
928306;WOS:000439339400003
918287;WOS:000439339400003
923825;WOS:000439339400003
566924;WOS:000439311400004
566921;WOS:000439311400004
566922;WOS:000439311400004
896035;WOS:000439308300011
1011052;WOS:000439308300010
1011053;WOS:000439308300010
1011051;WOS:000439308300010
1011054;WOS:000439308300010
1011050;WOS:000439308300010
1011048;WOS:000439308300009
1011049;WOS:000439308300009
68254;WOS:000439308300008
68590;WOS:000439308300008
68589;WOS:000439308300008
978973;WOS:000439308300007
1011045;WOS:000439308300006
1011046;WOS:000439308300006
1011047;WOS:000439308300006
68588;WOS:000439308300005
11845;WOS:000439308300003
87008;WOS:000439308300002
68587;WOS:000439308300001
534745;WOS:000439259007121
534747;WOS:000439259007121
534743;WOS:000439259007121
534746;WOS:000439259007121
534744;WOS:000439259007121
544526;WOS:000439259007028
549958;WOS:000439259007028
549955;WOS:000439259007028
549961;WOS:000439259007028
549949;WOS:000439259007028
549953;WOS:000439259007028
549956;WOS:000439259007028
549946;WOS:000439259007028
549951;WOS:000439259007028
549960;WOS:000439259007028
549957;WOS:000439259007028
549964;WOS:000439259007028
549950;WOS:000439259007028
549965;WOS:000439259007028
549945;WOS:000439259007028
549963;WOS:000439259007028
549948;WOS:000439259007028
549952;WOS:000439259007028
549962;WOS:000439259007028
549947;WOS:000439259007028
549954;WOS:000439259007028
549944;WOS:000439259007028
549959;WOS:000439259007028
549977;WOS:000439259006403
549976;WOS:000439259006403
546283;WOS:000439259006403
546191;WOS:000439259006403
544678;WOS:000439259006403
544678;WOS:000439259006400
546283;WOS:000439259006400
546191;WOS:000439259006400
549974;WOS:000439259006400
549972;WOS:000439259006400
549975;WOS:000439259006400
549973;WOS:000439259006400
544457;WOS:000439259006349
544462;WOS:000439259006349
544461;WOS:000439259006349
544460;WOS:000439259006349
544458;WOS:000439259006349
544459;WOS:000439259006349
544526;WOS:000439259006346
549947;WOS:000439259006346
549959;WOS:000439259006346
549961;WOS:000439259006346
549950;WOS:000439259006346
549962;WOS:000439259006346
549964;WOS:000439259006346
549960;WOS:000439259006346
549948;WOS:000439259006346
549963;WOS:000439259006346
549949;WOS:000439259006346
549965;WOS:000439259006346
549952;WOS:000439259006346
549945;WOS:000439259006346
549954;WOS:000439259006346
549956;WOS:000439259006346
549957;WOS:000439259006346
549951;WOS:000439259006346
549966;WOS:000439259006346
549946;WOS:000439259006346
549955;WOS:000439259006346
549958;WOS:000439259006346
549953;WOS:000439259006346
549944;WOS:000439259006346
549954;WOS:000439259006345
549953;WOS:000439259006345
549949;WOS:000439259006345
549962;WOS:000439259006345
549965;WOS:000439259006345
549955;WOS:000439259006345
549959;WOS:000439259006345
549951;WOS:000439259006345
549958;WOS:000439259006345
549960;WOS:000439259006345
549957;WOS:000439259006345
549961;WOS:000439259006345
549956;WOS:000439259006345
549952;WOS:000439259006345
549950;WOS:000439259006345
549948;WOS:000439259006345
549947;WOS:000439259006345
549945;WOS:000439259006345
549944;WOS:000439259006345
549964;WOS:000439259006345
549966;WOS:000439259006345
549963;WOS:000439259006345
549946;WOS:000439259006345
544526;WOS:000439259006345
1017716;WOS:000439259006309
1022868;WOS:000439259006309
1022866;WOS:000439259006309
462876;WOS:000439259006270
462878;WOS:000439259006269
462876;WOS:000439259006269
462883;WOS:000439259006269
462882;WOS:000439259006269
277740;WOS:000439259006269
295257;WOS:000439259006269
117805;WOS:000439259006269
117805;WOS:000439259006268
104039;WOS:000439259006268
295257;WOS:000439259006268
462876;WOS:000439259006268
462877;WOS:000439259006268
462878;WOS:000439259006268
462879;WOS:000439259006268
462880;WOS:000439259006268
462881;WOS:000439259006268
462882;WOS:000439259006268
277740;WOS:000439259006268
70513;WOS:000439259006265
462874;WOS:000439259006171
462875;WOS:000439259006171
534744;WOS:000439259006169
534745;WOS:000439259006169
534746;WOS:000439259006169
534747;WOS:000439259006169
534743;WOS:000439259006169
537870;WOS:000439259005048
537871;WOS:000439259005048
549971;WOS:000439259004194
1022864;WOS:000439259003315
1022865;WOS:000439259003315
1022892;WOS:000439259003273
1022890;WOS:000439259003273
1077558;WOS:000439259003273
1030245;WOS:000439259003273
1022892;WOS:000439259003129
1060352;WOS:000439259003129
1077558;WOS:000439259003129
1076638;WOS:000439259003129
89019;WOS:000439259003012
73309;WOS:000439259003012
73336;WOS:000439259003012
407242;WOS:000439259003012
407243;WOS:000439259003012
102127;WOS:000439259003012
258302;WOS:000439259003012
258303;WOS:000439259003012
258298;WOS:000439259003012
462873;WOS:000439259003008
390103;WOS:000439259002330
1093237;WOS:000439259002330
246069;WOS:000439259002330
1022890;WOS:000439259002324
1022883;WOS:000439259002324
1022892;WOS:000439259002324
1025231;WOS:000439259002324
1031616;WOS:000439259002324
1031301;WOS:000439259002324
1032200;WOS:000439259002324
897968;WOS:000439259002316
897485;WOS:000439259002316
898593;WOS:000439259002316
898592;WOS:000439259002316
898587;WOS:000439259002316
898591;WOS:000439259002316
68586;WOS:000439259002300
534742;WOS:000439259002286
1036292;WOS:000439259002262
1086470;WOS:000439259002262
1061828;WOS:000439259002262
1056581;WOS:000439259002262
1011043;WOS:000439259002221
1011042;WOS:000439259002221
1011044;WOS:000439259002221
994756;WOS:000439259002221
912631;WOS:000439259002221
924112;WOS:000439259002221
1031616;WOS:000439259002220
1045681;WOS:000439259002220
1038763;WOS:000439259002220
1077558;WOS:000439259002220
1025231;WOS:000439259002220
1022883;WOS:000439259002220
1022892;WOS:000439259002220
1023870;WOS:000439259002220
1023872;WOS:000439259002220
575545;WOS:000439259002196
898587;WOS:000439259002164
898588;WOS:000439259002164
898590;WOS:000439259002164
898589;WOS:000439259002164
549970;WOS:000439259002155
549969;WOS:000439259002155
549968;WOS:000439259002155
549967;WOS:000439259002155
1023929;WOS:000439259002146
1023870;WOS:000439259002146
1023874;WOS:000439259002146
1022892;WOS:000439259002146
1022883;WOS:000439259002146
1086471;WOS:000439259002146
1045682;WOS:000439259002146
563382;WOS:000439259002107
982869;WOS:000439259002099
981686;WOS:000439259002099
1011031;WOS:000439259002099
1011027;WOS:000439259002099
1011030;WOS:000439259002099
1011029;WOS:000439259002099
1011028;WOS:000439259002099
1011026;WOS:000439259002099
1011041;WOS:000439259002099
1039225;WOS:000439259002086
1036292;WOS:000439259002086
1056998;WOS:000439259002086
1056581;WOS:000439259002086
1086470;WOS:000439259002086
549957;WOS:000439259002034
549966;WOS:000439259002034
549955;WOS:000439259002034
549950;WOS:000439259002034
549956;WOS:000439259002034
549960;WOS:000439259002034
549965;WOS:000439259002034
549959;WOS:000439259002034
549962;WOS:000439259002034
549953;WOS:000439259002034
549952;WOS:000439259002034
549946;WOS:000439259002034
549958;WOS:000439259002034
549945;WOS:000439259002034
549951;WOS:000439259002034
549964;WOS:000439259002034
549947;WOS:000439259002034
549944;WOS:000439259002034
549954;WOS:000439259002034
549949;WOS:000439259002034
549961;WOS:000439259002034
549948;WOS:000439259002034
549963;WOS:000439259002034
544526;WOS:000439259002034
544526;WOS:000439259002033
549957;WOS:000439259002033
549963;WOS:000439259002033
549946;WOS:000439259002033
549952;WOS:000439259002033
549962;WOS:000439259002033
549944;WOS:000439259002033
549954;WOS:000439259002033
549949;WOS:000439259002033
549948;WOS:000439259002033
549958;WOS:000439259002033
549956;WOS:000439259002033
549960;WOS:000439259002033
549950;WOS:000439259002033
549964;WOS:000439259002033
549961;WOS:000439259002033
549965;WOS:000439259002033
549945;WOS:000439259002033
549953;WOS:000439259002033
549959;WOS:000439259002033
549955;WOS:000439259002033
549947;WOS:000439259002033
549951;WOS:000439259002033
549955;WOS:000439259002032
549946;WOS:000439259002032
549954;WOS:000439259002032
549952;WOS:000439259002032
549953;WOS:000439259002032
549945;WOS:000439259002032
549944;WOS:000439259002032
549956;WOS:000439259002032
549947;WOS:000439259002032
549950;WOS:000439259002032
549964;WOS:000439259002032
549962;WOS:000439259002032
549961;WOS:000439259002032
549960;WOS:000439259002032
549965;WOS:000439259002032
549948;WOS:000439259002032
549949;WOS:000439259002032
549959;WOS:000439259002032
549951;WOS:000439259002032
549963;WOS:000439259002032
549966;WOS:000439259002032
549957;WOS:000439259002032
549958;WOS:000439259002032
544526;WOS:000439259002032
544526;WOS:000439259002031
549949;WOS:000439259002031
549950;WOS:000439259002031
549945;WOS:000439259002031
549948;WOS:000439259002031
549951;WOS:000439259002031
549947;WOS:000439259002031
549953;WOS:000439259002031
549952;WOS:000439259002031
549946;WOS:000439259002031
549944;WOS:000439259002031
549958;WOS:000439259002031
549959;WOS:000439259002031
549962;WOS:000439259002031
549961;WOS:000439259002031
549957;WOS:000439259002031
549964;WOS:000439259002031
549965;WOS:000439259002031
549963;WOS:000439259002031
549960;WOS:000439259002031
549956;WOS:000439259002031
549955;WOS:000439259002031
549954;WOS:000439259002031
549944;WOS:000439259002030
549965;WOS:000439259002030
549959;WOS:000439259002030
549961;WOS:000439259002030
549962;WOS:000439259002030
549964;WOS:000439259002030
549950;WOS:000439259002030
549963;WOS:000439259002030
549948;WOS:000439259002030
549949;WOS:000439259002030
549945;WOS:000439259002030
549946;WOS:000439259002030
549947;WOS:000439259002030
549951;WOS:000439259002030
549955;WOS:000439259002030
549957;WOS:000439259002030
549952;WOS:000439259002030
549956;WOS:000439259002030
549954;WOS:000439259002030
549958;WOS:000439259002030
549953;WOS:000439259002030
549960;WOS:000439259002030
544526;WOS:000439259002030
1011036;WOS:000439259002012
1011034;WOS:000439259002012
1011035;WOS:000439259002012
1011037;WOS:000439259002012
1011038;WOS:000439259002012
1011039;WOS:000439259002012
1011040;WOS:000439259002012
996180;WOS:000439259002012
390104;WOS:000439259001352
462872;WOS:000439259001352
117482;WOS:000439259001352
566155;WOS:000439259001314
812540;WOS:000439259001300
812540;WOS:000439259001277
1080787;WOS:000439259001269
1029881;WOS:000439259001269
1031616;WOS:000439259001269
1050999;WOS:000439259001269
1022883;WOS:000439259001269
1023287;WOS:000439259001269
1022892;WOS:000439259001269
1023874;WOS:000439259001269
1025984;WOS:000439259001269
1025984;WOS:000439259001268
1022892;WOS:000439259001268
1023874;WOS:000439259001268
1029881;WOS:000439259001268
1080787;WOS:000439259001268
1031616;WOS:000439259001268
1031616;WOS:000439259001267
1029881;WOS:000439259001267
1023874;WOS:000439259001267
1025984;WOS:000439259001267
1022892;WOS:000439259001267
1080787;WOS:000439259001267
812540;WOS:000439259001240
566155;WOS:000439259001191
180298;WOS:000439259001180
