"year"	"iso"	"valor"	"nombre"	"fila"	"country"	"indicator_name"	"ultimo_anio"
"1"	2009	"AR"	0.5023	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Argentina"	"CINVBPFF"	
"2"	2009	"AR"	0.1806	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"Argentina"	"CINVBPFF"	
"3"	2009	"AR"	0.5551	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Argentina"	"CINVBPFF"	
"4"	2009	"AR"	0.5685	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Argentina"	"CINVBPFF"	
"5"	2009	"CL"	0.4012	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Chile"	"CINVBPFF"	
"6"	2009	"CL"	0.2603	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"Chile"	"CINVBPFF"	
"7"	2009	"CL"	0.3277	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Chile"	"CINVBPFF"	
"8"	2009	"CL"	0.3425	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Chile"	"CINVBPFF"	
"9"	2009	"CR"	0.3579	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Costa Rica"	"CINVBPFF"	
"10"	2009	"CR"	0.4363	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Costa Rica"	"CINVBPFF"	
"11"	2009	"CR"	0.3173	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Costa Rica"	"CINVBPFF"	
"12"	2009	"EC"	0.3122	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Ecuador"	"CINVBPFF"	
"13"	2009	"EC"	0.4138	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Ecuador"	"CINVBPFF"	
"14"	2009	"EC"	0.2381	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Ecuador"	"CINVBPFF"	
"15"	2009	"ES"	0.4848	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Espana"	"CINVBPFF"	
"16"	2009	"ES"	0.2878	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"Espana"	"CINVBPFF"	
"17"	2009	"ES"	0.3979	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Espana"	"CINVBPFF"	
"18"	2009	"ES"	0.4501	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Espana"	"CINVBPFF"	
"19"	2009	"GT"	0.2375	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Guatemala"	"CINVBPFF"	
"20"	2009	"GT"	0.4358	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Guatemala"	"CINVBPFF"	
"21"	2009	"PT"	0.6043	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Portugal"	"CINVBPFF"	
"22"	2009	"PT"	0.3021	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"Portugal"	"CINVBPFF"	
"23"	2009	"PT"	0.4815	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Portugal"	"CINVBPFF"	
"24"	2009	"PT"	0.4547	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Portugal"	"CINVBPFF"	
"25"	2009	"SV"	0.4737	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"El Salvador"	"CINVBPFF"	
"26"	2009	"SV"	0.3125	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"El Salvador"	"CINVBPFF"	
"27"	2009	"SV"	0.3602	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"El Salvador"	"CINVBPFF"	
"28"	2009	"SV"	0.5	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"El Salvador"	"CINVBPFF"	
"29"	2009	"TT"	0.4815	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Trinidad y Tobago"	"CINVBPFF"	
"30"	2009	"TT"	0.5417	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Trinidad y Tobago"	"CINVBPFF"	
"31"	2009	"UY"	0.5491	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Uruguay"	"CINVBPFF"	
"32"	2009	"UY"	0.5116	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"Uruguay"	"CINVBPFF"	
"33"	2009	"UY"	0.4989	"Investigadoras por sector de empleo (PF)"	"Educacion Superior"	"Uruguay"	"CINVBPFF"	
"34"	2009	"UY"	0.5846	"Investigadoras por sector de empleo (PF)"	"Org. priv. sin fines de lucro"	"Uruguay"	"CINVBPFF"	
"35"	2010	"AR"	0.5118	"Investigadoras por sector de empleo (PF)"	"Gobierno"	"Argentina"	"CINVBPFF"	
"36"	2010	"AR"	0.1806	"Investigadoras por sector de empleo (PF)"	" Empresas (Privadas y Publicas)"	"Argentina"	"CINVBPFF"	
